book_title;publication_date;id_booktype;id_booklevel;author_id;publisher_id;method_id
"?bungsgrammatik
Deutsch als Fremdsprache
Sprachniveau A1, A2";2010;3;1;2, 3;1;2
"?bungsgrammatik
Deutsch als Fremdsprache
Sprachniveau A1, A2 L?sungsheft";2010;4;1;2, 3;1;2
Themen aktuell 1;2003;2;1;4, 5, 6 ,7,  8;2;3, 2, 4, 5
Menschen Deutsch als Fremdsprache Kursbuch A1 ;2021;2;1;9, 10, 11;2;3, 2, 4
Menschen Deutsch als Fremdsprache Arbeitsbuch A1 ;2021;1;1;9, 10, 11;2;3, 2, 4
Menschen Deutsch als Fremdsprache Kursbuch A2 ;2021;2;1;9, 10, 11;2;3, 2, 4
Menschen Deutsch als Fremdsprache Arbeitsbuch A2;2021;1;1;9, 10, 11;2;3, 2, 4
Begegnungen A1;2005;2;1;2, 3;1;3, 2, 4, 5
"?bungsgrammatik
Deutsch als Fremdsprache
Sprachniveau B1, B2";2010;3;2;2, 3;1;2
"?bungsgrammatik
Deutsch als Fremdsprache
Sprachniveau B1, B2 L?sungsheft";2010;4;2;2, 3;1;2
Themen aktuell 2;2003;2;2;4, 5, 6 ,7, 8;2;3, 2, 4
"?bungsgrammatik
Deutsch als Fremdsprache
Sprachniveau C1, C2";2010;3;3;2, 3;1;2
"?bungsgrammatik
Deutsch als Fremdsprache
Sprachniveau C1, C2 L?sungsheft";2010;4;3;2, 3;1;2
Themen aktuell 3;2003;2;3;4, 5, 6 ,7, 8;2;3, 2, 4
Begegnungen B1;2005;2;2;2, 3;1;3, 2, 4
Begegnungen C1;2005;2;3;2, 3;1;3, 2, 4
Begegnungen C1 L?sungsheft;2005;4;3;2, 3;1;3, 2, 4
Mit Erfolg zum Goethe C1 Testbuch ;2011;2;3;12;3;6, 3, 2, 4, 5
Mit Erfolg zum Goethe C1 ?bungsbuch ;2011;1;3;12;3;6, 3, 2, 4, 5
Mit Erfolg zum Goethe A1 Testbuch ;2011;2;1;12;3;6, 3, 2, 4, 5
Mit Erfolg zum Goethe A1 ?bungsbuch ;2012;1;1;12;3;6, 3, 2, 4, 5
Mit Erfolg zum Goethe B1 Testbuch ;2011;2;2;12;3;6, 3, 2, 4, 5
Mit Erfolg zum Goethe B1 ?bungsbuch ;2012;1;2;12;3;6, 3, 2, 4, 5
Full Course of Gernam Language;2015;3;1;13;4;2
Practical Grammar of German Language;2010;3;3;14;5;2, 5
Lesen und Schreiben B1;2018;3;2;15;2;6, 3, 2, 4
Woerter zur Wahl B1-C1;2019;3;2;16, 17;6;2
